section,donor,modality,metric,layer_eta_squared,morans_i,spearman_total_umi,spearman_detected_genes,mean,sd,method_label
151507,donor_1,matched_presence,nonzero_features,0.2865939401783466,0.503950500019592,0.9738983717059218,0.9728937238563816,265.922056384743,125.4662258728092,Matched presence
151507,donor_1,total_depth,nonzero_features,0.277832828057917,0.4934201323061501,0.9724152309355956,0.9728547789551004,170.5735607675906,84.78148174487511,Total depth
151507,donor_1,ref_depth,nonzero_features,0.255913397271779,0.46642417253337,0.9544705239498212,0.9555411246345528,59.39374555792466,30.545547392405865,REF depth
151507,donor_1,alt_depth,nonzero_features,0.2717238582593258,0.4831618001062512,0.9678217327994428,0.9676923528053222,125.9874437337124,65.47163525968212,ALT depth
151507,donor_1,projected_expression,nonzero_features,0.3864432106417731,0.5900460202288019,0.9919338849562146,0.9972511713029728,1047.632551528074,386.9377199504465,Projected expression
151508,donor_1,matched_presence,nonzero_features,0.3120161920776418,0.5489901353880837,0.9724792487347655,0.9747567510066608,215.3129422506277,107.4360545188874,Matched presence
151508,donor_1,total_depth,nonzero_features,0.3054569306782212,0.5369677750660299,0.9692360497073096,0.9732298767843371,143.4818534581146,75.32724893538196,Total depth
151508,donor_1,ref_depth,nonzero_features,0.2800336442459227,0.4968630174143895,0.9475446520687388,0.951015044009328,49.39169139465876,27.12182167628347,REF depth
151508,donor_1,alt_depth,nonzero_features,0.2978377104490319,0.5294740052801018,0.9641389078469026,0.9678575997888842,105.90116411778132,57.80533137261385,ALT depth
151508,donor_1,projected_expression,nonzero_features,0.4023422321600194,0.6220057239828811,0.9908854892157664,0.9972241344000672,860.8534581145857,340.74182132092807,Projected expression
151509,donor_1,matched_presence,nonzero_features,0.4381301587646118,0.5764313678239001,0.9764776894104216,0.9750538125931436,270.7794486215539,131.66024943733584,Matched presence
151509,donor_1,total_depth,nonzero_features,0.4261954496145151,0.5642281630469151,0.9747015663750074,0.9743945479982402,174.8893065998329,89.1086996040972,Total depth
