section,donor,modality,n_attempts,n_failures
151672,donor_2,depth_total_resid_expr_bin250kb,5,0
151672,donor_2,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151672,donor_2,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151672,donor_2,expr_panel_projected_bin250kb,5,0
151672,donor_2,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151672,donor_2,gene_expr_mech,5,0
151672,donor_2,matched_presence_mech_bin250kb,5,0
151672,donor_2,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151673,donor_3,depth_alt_mech_bin250kb,5,0
151673,donor_3,depth_ref_mech_bin250kb,5,0
151673,donor_3,depth_total_mech_bin250kb,5,0
151673,donor_3,depth_total_resid_expr_bin250kb,5,0
151673,donor_3,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151673,donor_3,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151673,donor_3,expr_panel_projected_bin250kb,5,0
151673,donor_3,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151673,donor_3,gene_expr_mech,5,0
151673,donor_3,matched_presence_mech_bin250kb,5,0
151673,donor_3,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151674,donor_3,depth_alt_mech_bin250kb,5,0
151674,donor_3,depth_ref_mech_bin250kb,5,0
151674,donor_3,depth_total_mech_bin250kb,5,0
151674,donor_3,depth_total_resid_expr_bin250kb,5,0
151674,donor_3,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151674,donor_3,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151674,donor_3,expr_panel_projected_bin250kb,5,0
151674,donor_3,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151674,donor_3,gene_expr_mech,5,0
151674,donor_3,matched_presence_mech_bin250kb,5,0
151674,donor_3,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151675,donor_3,depth_alt_mech_bin250kb,5,0
151675,donor_3,depth_ref_mech_bin250kb,5,0
151675,donor_3,depth_total_mech_bin250kb,5,0
151675,donor_3,depth_total_resid_expr_bin250kb,5,0
151675,donor_3,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151675,donor_3,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151675,donor_3,expr_panel_projected_bin250kb,5,0
151675,donor_3,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151675,donor_3,gene_expr_mech,5,0
151675,donor_3,matched_presence_mech_bin250kb,5,0
151675,donor_3,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151676,donor_3,depth_alt_mech_bin250kb,5,0
151676,donor_3,depth_ref_mech_bin250kb,5,0
151676,donor_3,depth_total_mech_bin250kb,5,0
151676,donor_3,depth_total_resid_expr_bin250kb,5,0
151676,donor_3,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151676,donor_3,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151676,donor_3,expr_panel_projected_bin250kb,5,0
151676,donor_3,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151676,donor_3,gene_expr_mech,5,0
151676,donor_3,matched_presence_mech_bin250kb,5,0
151676,donor_3,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
