sample,class_code,class_label,n_hits,n_total,hit_rate_pct,n_hits_mhc,hit_rate_mhc_pct,pct_hits_from_mhc
P4,somatic,somatic,243,19523,1.244685755263023,31,0.1587870716590688,12.757201646090534
P4,ambiguous,unresolved,1648,175711,0.9379037168987713,68,0.03869991064873571,4.12621359223301
P6,somatic,somatic,463,65655,0.7052014317264489,54,0.0822481151473612,11.663066954643629
P6,ambiguous,unresolved,3226,590897,0.5459496325078652,52,0.008800180065222873,1.611903285802852
DCIS1,somatic,somatic,188,18536,1.0142425550280536,13,0.07013379369874838,6.914893617021277
DCIS1,ambiguous,unresolved,1458,166825,0.8739697287576802,42,0.025176082721414656,2.880658436213992
DCIS2,somatic,somatic,249,25154,0.9899022024330126,46,0.18287349924465293,18.473895582329316
DCIS2,ambiguous,unresolved,1916,226386,0.8463420882916788,65,0.028712022828266764,3.392484342379958
